idx	true_id	pred_id	true_label	pred_label	text
8	42	84	oos	order_status	check the status of my amazon orders for me
11	58	136	share_location	current_location	what is my current location
14	42	17	oos	jump_start	can you auto-pilot the car
17	42	100	oos	rollover_401k	tell me how to perform cpr
22	75	11	what_is_your_name	user_name	what do you like to be called
32	42	17	oos	jump_start	can a samurai sword deflect a bullet
35	42	131	oos	schedule_maintenance	find a cleaner that specializes in suede
37	123	3	oil_change_when	oil_change_how	what's my oil change status
38	71	93	spending_history	income	what are my finances like lately
42	42	119	oos	change_speed	put words on the paper about what you want
54	42	8	oos	gas_type	give me an energy usage breakdown for march
58	42	72	oos	directions	where is the closest driving range
66	42	10	oos	smart_home	vacuum out the car
67	42	135	oos	calories	how many calories does jumping up and down burn
70	23	9	restaurant_reservation	accept_reservations	i'd like to make a reservation at rooth chris, can you do that
78	13	82	repeat	greeting	sorry i missed that
96	42	0	oos	restaurant_reviews	whats the best rated lipstick
108	42	150	oos	change_volume	"can you really time your compressions to queen's ""another one bites the dust"""
133	60	105	calendar	calendar_update	have i added my doctor's appointment to my calendar
141	12	87	report_lost_card	damaged_card	someone used my chase card without my authorization
142	42	10	oos	smart_home	have you seen the remote
145	42	32	oos	timer	do sets of 25 set-ups each morning til you have completed your goal
173	42	41	oos	credit_limit	what is the cashback rate for my credit card
177	107	82	yes	greeting	great
192	44	90	expiration_date	replacement_card_duration	when will my new credit card arrive
209	75	11	what_is_your_name	user_name	what name do you go by
214	27	143	bill_balance	min_payment	i need to know the price of my car payment and insurance please
221	91	103	new_card	application_status	i need to get a new credit card application
231	119	147	change_speed	cancel	why are you talking so slowly
233	42	4	oos	time	what are the hours for disney world
234	21	106	what_song	play_music	what kind of music on the speaker now
235	42	31	oos	measurement_conversion	how many ppm of particulate is in my local water
264	91	90	new_card	replacement_card_duration	i would like to get a new credt card
265	42	17	oos	jump_start	switch over to low power mode to preserve battery life
277	42	4	oos	time	what is the time signature for the castlevania song bloody tears
291	42	40	oos	car_rental	search the web for monthly parking near my house
300	42	17	oos	jump_start	check battery health on this device
302	42	149	oos	travel_suggestion	show me how many community centers are located within 5 miles of my location
306	42	103	oos	application_status	search information on how to apply foundation
311	42	10	oos	smart_home	why would the water be turned off
317	16	42	order	oos	what is the price of bluetooth speakers on amazon
319	101	140	pto_request_status	next_holiday	when will i hear back about my days off
324	42	1	oos	nutrition_info	what are some natural remedies to help ease stress
326	42	116	oos	book_hotel	are there any apartments for rent nearby
339	43	125	shopping_list	shopping_list_update	are carrots added to the grocery list
348	42	74	oos	insurance	how to get the right medicine
352	75	11	what_is_your_name	user_name	what's your name anyway
359	2	70	account_blocked	report_fraud	did someone who is unauthorized try to get into my bank account
361	42	145	oos	restaurant_suggestion	find out where i can by melamine dinner plates
390	42	37	oos	last_maintenance	what is the last time the living room was vacuumed
394	107	147	yes	cancel	please let's do it
397	42	37	oos	last_maintenance	can you find my car in the parking lot
405	75	11	what_is_your_name	user_name	how do you say your name
417	54	44	food_last	expiration_date	when does the honey expire
421	89	55	pin_change	change_ai_name	i would like to change the name on my capital one account
422	42	129	oos	fun_fact	find me a book on motivational speaking from amazon
424	42	31	oos	measurement_conversion	how much for a samurai sword
435	42	135	oos	calories	how much sugar was in my urine this morning
444	121	107	maybe	yes	undecided
448	111	133	pay_bill	transfer	pay $175 on my visa
462	112	104	ingredients_list	recipe	give me a recipe for tacos
465	42	149	oos	travel_suggestion	give me a recommendation for a local landscaper
471	42	31	oos	measurement_conversion	how much weight should i lift to get buff
480	144	55	change_user_name	change_ai_name	could you call me a different name
487	42	16	oos	order	find out where i can buy a barbie doll for my niece
496	95	60	date	calendar	what will tomorrow be on the calendar
504	125	134	shopping_list_update	ingredient_substitution	i don't need eggs anymore, but i do need milk
509	42	54	oos	food_last	am i too old to be a sugar babyo
519	42	7	oos	interest_rate	what's the current prevailing interest rate for mortgages in my area
527	79	56	payday	bill_due	what day can i expect to receive payment on
531	42	53	oos	reminder_update	can you mark this note as important
541	42	21	oos	what_song	what are the words to the chorus for this song
542	42	140	oos	next_holiday	when's the next mardi gras going to be
555	42	26	oos	text	read text
560	0	145	restaurant_reviews	restaurant_suggestion	they sold out of tacos at the buffet
573	42	12	oos	report_lost_card	order me a book of stamps and envelopes
592	114	124	goodbye	thank_you	great talk, thanks
598	27	56	bill_balance	bill_due	whens my insurance due and how much does it cost
606	42	140	oos	next_holiday	when do the kids get out of school today
627	139	42	definition	oos	what is the definiton of auspicious
629	42	91	oos	new_card	can you tell me what credit cards i have open
637	27	93	bill_balance	income	how much do i have to pay this month
646	48	65	todo_list	todo_list_update	did i put grocery shopping on my todo list
670	131	123	schedule_maintenance	oil_change_when	can you let me know the next open slot for me to get my oil changed
672	42	54	oos	food_last	what should i take for a cold
676	42	73	oos	spelling	what's the proper subject verb order in japanese
689	101	126	pto_request_status	pto_balance	any news on my vacation
693	42	26	oos	text	please read me the last text message i received
711	42	10	oos	smart_home	tell me how to refinish a wooden desk
730	79	37	payday	last_maintenance	can you tell me the date of my last check
734	54	44	food_last	expiration_date	what is the expiration date for honey
741	0	46	restaurant_reviews	meal_suggestion	do they serve good tacos at the buffet
745	54	44	food_last	expiration_date	what is the expiration date for those eg
765	60	105	calendar	calendar_update	i can't remember if i added the fun run to my calendar yet; did i
778	42	109	oos	credit_limit_change	how can i get a better rate on my card
788	42	136	oos	current_location	can you give me the gps location of harvey
789	42	31	oos	measurement_conversion	how many items are in a bakers dozen
791	75	11	what_is_your_name	user_name	what would you like me to call you
793	42	0	oos	restaurant_reviews	tell me a summary of reviews that oakley frogskins get on amazon
796	42	24	oos	traffic	find out where parking is close to the stadium
808	42	52	oos	vaccines	will the anti-vaxxers die off if no one gives them vaccines
828	46	29	meal_suggestion	change_language	do you have any recommendations for korean
829	42	5	oos	weather	what do i wear on my feet when it rains
830	43	16	shopping_list	order	is milk one of the things i need to buy
839	42	86	oos	cook_time	tell me the price of bananas at whole foods this week
840	42	58	oos	share_location	locate jenny at her present position
841	42	4	oos	time	what time is a star is born showing
843	42	38	oos	exchange_rate	what is bitcoin trading for currently
862	68	37	transactions	last_maintenance	when did i last make a purchase
864	102	23	how_busy	restaurant_reservation	is mr joes pizza available for a seating
878	42	10	oos	smart_home	what's the power consumption of my fridge
890	42	55	oos	change_ai_name	are you allowed to call someone a dirty name as part of free speech
892	42	134	oos	ingredient_substitution	what kinds of cereal are gluten free
896	42	72	oos	directions	is there an alternate bus stop close to my home i can use
901	42	20	oos	freeze_account	i need to add a person to my bank account
908	41	35	credit_limit	balance	how much do i have available on my visa card
922	42	126	oos	pto_balance	how many months do i left in my hbo subscription
924	139	22	definition	meaning_of_life	can you tell me the meaning of fluctuate
933	26	114	text	goodbye	tell jim i'm coming home soon
936	114	82	goodbye	greeting	regards
943	71	28	spending_history	improve_credit_score	did i stick to my dinner budget
946	43	125	shopping_list	shopping_list_update	am i supposed to buy milk
949	42	140	oos	next_holiday	when do i have to get the mmr
966	42	72	oos	directions	find directions to the sunshine car wash from my house
977	2	20	account_blocked	freeze_account	can you help me unlock my bank account
979	42	124	oos	thank_you	fun gift ideas to give to grandparents
980	42	116	oos	book_hotel	i'd like to hire a wedding planner and need help finding one
982	42	10	oos	smart_home	fold my hand
985	71	42	spending_history	oos	do i overspend when it comes to fast food
987	27	42	bill_balance	oos	how expensive is my internet
990	42	115	oos	what_can_i_ask_you	how to take care of the sick
1009	42	65	oos	todo_list_update	make a list of decor i would need to have a titanic themed birthday party
1023	42	31	oos	measurement_conversion	how much does it cost to get two jackets dry cleaned
1025	101	126	pto_request_status	pto_balance	any new info on my vacation
1030	42	82	oos	greeting	what's going on in the world today
1032	49	2	card_declined	account_blocked	why can't i use my credit card
1039	134	3	ingredient_substitution	oil_change_how	is it okay to use applesauce instead of oil
1042	60	105	calendar	calendar_update	have i gotten around to adding the bike ride to my calendar yet
1063	42	148	oos	pto_used	how many kilowatts have i used this month
1073	42	131	oos	schedule_maintenance	what supplies do i need to clean my car
1092	42	72	oos	directions	where is the closest architecture college
1101	42	10	oos	smart_home	please clean the car windows
1112	68	71	transactions	spending_history	what have i spent things on
1114	37	123	last_maintenance	oil_change_when	have i recently had an oil change
1117	42	134	oos	ingredient_substitution	what is that crunchy stuff on creme bruleo
1119	42	144	oos	change_user_name	what is harry's real name
1122	6	50	redeem_rewards	rewards_balance	how can i claim my rewards for my visa card
1137	42	120	oos	plug_type	what brush can i use to wash my car that won't scratch it
1140	43	115	shopping_list	what_can_i_ask_you	recite the items i'm planning to purchase
1168	42	108	oos	direct_deposit	list the contents of my safety deposit box at the bank
1169	42	27	oos	bill_balance	how much should i tip on this bill
1178	42	135	oos	calories	how many calories does doing 20 situps burn
1182	42	17	oos	jump_start	how is my driving
1184	111	56	pay_bill	bill_due	today is the day i should pay my electric bill
1188	42	108	oos	direct_deposit	can you store a gun in a safe deposit box
1194	42	10	oos	smart_home	should i do a complete stop at red lights
1195	42	48	oos	todo_list	please check up on my son's homework
1202	42	134	oos	ingredient_substitution	can you tell me how to get gum out of my rug
1205	42	27	oos	bill_balance	what's my current electric bill
1207	106	141	play_music	update_playlist	put on my 90s playlist
1209	42	131	oos	schedule_maintenance	can you book me an appointment at a car wash
1215	42	148	oos	pto_used	what time did my daughter get home from her date
1217	68	41	transactions	credit_limit	is my visa bill over my limit this month
1224	146	128	travel_notification	travel_alert	must call my bank about my travel plans
1225	42	145	oos	restaurant_suggestion	find the best prices for toothpaste at any store within a 5 mile radius of my location
1226	71	42	spending_history	oos	looking at this week only, have i overspent on hoagies
1230	42	108	oos	direct_deposit	can i set up mobile deposits
1242	79	56	payday	bill_due	when will my payment be deposited
1245	42	140	oos	next_holiday	when is the next full moon
1249	42	34	oos	do_you_have_pets	what's the safest pet to be around toddlers
1259	54	44	food_last	expiration_date	when does the jerky expire
1260	150	119	change_volume	change_speed	can you speak quieter
1264	42	110	oos	gas	explain to me the process of evaporation
1278	42	53	oos	reminder_update	i would like for you to start a biography on me
1283	42	62	oos	carry_on	does my carrier have coverage in europe
1286	27	93	bill_balance	income	what will i be paying for utilities this month
1290	105	67	calendar_update	cancel_reservation	cancel event scheduled for this afternoon
1304	42	106	oos	play_music	aquire the soundtracks from the movie if i stay and add them to my ipod
1305	42	6	oos	redeem_rewards	make a list of side hustles i could start today to make a little extra cash
1313	42	106	oos	play_music	"can you find ""were the millers"" on hulu"
1328	134	3	ingredient_substitution	oil_change_how	can i swap applesauce for oil
1332	117	150	are_you_a_bot	change_volume	is your voice from a human or is it synthesized
1337	47	98	tire_change	tire_pressure	how many miles are my tires rated for
1338	105	67	calendar_update	cancel_reservation	what is the best way to remove this appointment
1347	42	67	oos	cancel_reservation	can you add a bag to my reservation
1348	42	26	oos	text	read my friend's text message
1351	42	149	oos	travel_suggestion	what are some of the most visited countries for people looking to travel abroad
1363	42	4	oos	time	what time do i need to arrive to make it on time
1372	42	10	oos	smart_home	please answer the phone and put it on speaker on the tv
1375	144	11	change_user_name	user_name	bob is my name now
1386	109	28	credit_limit_change	improve_credit_score	can i get more credit
1388	42	10	oos	smart_home	i want to install new tiles in my kitchen
1394	136	89	current_location	pin_change	open map and pin point my location
1395	42	1	oos	nutrition_info	what is a good home remedy for a rash
1399	35	42	balance	oos	what the numerical number inside my bank accounts
1405	42	84	oos	order_status	will amazon ship an order even if there was a pricing mistake
